FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
3.103171,2.553553,2.213857,2.299308,4.34129,3.583615,3.272823
23.259707,31.671855,30.570422,27.225917,3.361492,3.362518,10.628246
9.660349,7.190807,4.615988,3.567398,2.874077,2.645516,3.790747
5.105822,3.099096,3.048358,1.956447,1.52097,1.491848,1.627999
3.331343,3.410592,2.377211,3.928332,2.12396,1.908054,2.123648
14.58696,13.411196,10.01978,105.562886,2.868918,2.44067,2.970424
34.201216,4.811592,3.633231,3.615833,2.554264,3.886479,2.706549
5.61755,2.742524,2.133483,1.894826,1.894447,1.809753,2.206157
7.459469,7.766795,4.392205,3.794148,3.106709,1.865525,4.15057
14.074615,11.595905,6.618866,4.930744,3.078197,3.191583,3.455052
47.931861,44.442835,24.605824,17.21102,11.977039,11.207749,17.286657
10.058831,8.262843,5.887795,6.658529,7.395153,3.336802,8.251276
7.87923,4.479681,4.018317,2.955163,1.939835,1.774843,2.504251
2.229946,1.484601,1.506295,1.957235,1.375878,1.365546,2.631702
11.230445,7.336199,7.046631,7.672561,11.779115,14.138728,30.547927
