FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
5.635206,4.766571,3.326027,2.479283,4.57227,3.58131,3.605515
79.369997,25.378149,47.728607,29.999302,3.361281,3.362518,12.828852
18.678644,10.252864,7.025923,5.804946,2.845623,2.627581,5.790493
13.177393,7.228344,4.113329,2.564432,1.534987,1.499528,1.839171
11.331289,4.662164,3.660805,3.160906,2.634593,2.105301,3.992967
40.925449,31.875061,18.505897,9.37419,3.06968,2.511016,8.767464
98.934038,57.716893,15.931985,5.068074,3.834256,4.250109,6.236149
19.14902,10.098271,5.004044,2.992041,3.294384,2.015893,2.751043
62.467439,27.914,15.819307,13.148106,3.22899,1.924761,14.456273
66.252612,58.176905,39.530807,18.749842,3.05694,3.235859,19.18527
118.162946,84.147557,50.844637,48.072268,16.380451,12.915376,43.580146
35.162092,18.332678,11.254194,12.229163,8.774673,3.344947,10.225217
46.9413,31.70947,15.059431,10.120336,4.062787,1.726581,7.214064
6.986297,4.37101,2.955889,2.202978,1.408533,1.385962,2.655358
106.310394,16.435719,11.936254,9.17254,18.272008,29.980439,54.275017
