FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
5.635206,3.471168,2.267516,1.82593,1.658189,1.667759,1.754777
79.369997,15.760179,11.803533,11.771221,2.659994,3.222733,3.386466
18.678644,5.433028,2.788944,2.621209,2.66538,3.599538,2.690388
13.177393,4.889355,3.173571,2.152027,1.307349,1.306928,1.47055
11.331289,4.158523,3.117929,2.777543,1.490283,1.649059,1.959099
40.925449,28.633243,14.394295,7.947156,5.491409,2.256428,2.623238
98.934038,48.875597,8.627471,3.911433,1.762817,2.067856,6.436029
19.14902,7.809703,3.439605,2.051205,1.476731,1.5386,2.144405
62.467439,18.235361,11.637449,9.631376,1.490958,1.620365,2.229903
66.252612,46.284718,31.15587,14.141958,2.006908,2.837262,3.224929
118.162946,66.261139,46.276349,13.648407,3.318993,5.340951,14.665205
35.162092,11.828508,6.237712,3.974834,2.420659,2.666416,3.511214
46.9413,11.061434,5.8343,4.216017,1.654975,1.470102,2.310749
6.986297,3.431778,2.590355,2.291422,1.59867,1.542827,2.375441
106.310394,9.526979,5.78155,3.682335,125.963901,35.732969,29.698728
