FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
31.801037,21.920529,17.302066,15.617946,15.278505,14.178087,22.590352
137.57649,74.784955,22.540551,12.488594,13.005204,7.43442,6.299779
211.200819,58.27716,72.325232,23.288048,24.708769,12.658866,13.25446
54.528076,27.892512,14.931067,25.032778,17.990601,58.700847,24.842174
101.491076,55.955205,25.727541,18.108726,15.562127,11.299377,23.94935
78.963474,66.610868,25.57016,16.525461,24.461292,20.025196,20.834836
27.276642,31.09312,17.393149,12.386453,8.133843,10.244671,13.895009
70.960422,52.680178,39.289945,18.133836,4.835094,5.951072,9.698851
10.111373,8.061383,6.509584,5.246653,4.371046,4.560079,4.538699
101.96517,156.942917,56.776467,27.618042,10.509949,9.347859,22.703301
32.053308,18.044389,12.230955,11.863284,10.746937,9.100659,11.813236
89.081632,16.023137,24.345751,7.452912,5.689998,6.459713,6.396272
4.716868,2.69595,2.538777,2.728137,2.460865,2.695336,2.550925
87.801057,72.215828,56.382239,27.650703,14.524357,13.547889,21.89142
25.366915,12.066689,15.133378,5.056332,16.194392,11.476114,10.018402
213.440752,145.19063,15.478897,9.961336,7.331844,7.163848,15.619078
44.2945,36.14912,27.431749,13.179879,12.2973,14.792746,17.67762
334.977371,241.309806,137.242968,58.282021,44.12852,43.456986,16.911207
141.522126,85.07963,72.851813,9.898591,23.187162,10.210243,9.175266
359.804675,221.990007,36.468628,34.139864,20.937581,7.15635,18.544987
55.844728,26.573043,17.61142,12.468347,7.348028,8.676847,9.526418
93.526593,59.947194,51.54847,21.146305,19.406562,22.678095,32.335737
