FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
102.736032,103.23877,48.729295,73.716443,18.124544,17.483701,83.933825
383.291553,383.336567,75.757661,278.596385,11.726049,7.075002,329.095906
983.46654,938.468515,624.718876,933.571735,25.151401,13.946714,781.621804
411.018694,263.660963,198.800733,252.042397,20.028401,18.332618,222.759485
474.278057,491.322431,92.681206,359.013774,16.037412,13.610352,297.839322
615.389916,602.805754,186.477152,408.397647,20.777516,27.583907,564.376482
333.919449,356.520116,105.472194,302.191433,11.457997,8.598578,311.38144
468.414833,283.304175,76.009366,176.820433,5.311426,5.408594,167.332225
177.579792,140.84219,29.176072,137.861528,3.838882,7.184884,8.995951
621.10814,565.30778,104.487224,599.886849,14.269707,14.313003,459.460051
366.067594,264.053025,84.721573,170.218993,13.74739,10.134518,340.055204
310.701651,269.156034,85.7184,205.93432,12.095711,5.845284,167.575539
26.530095,12.009082,3.724789,8.783795,2.783873,2.381944,6.472025
465.719675,480.983819,234.922897,384.60953,14.987184,13.305643,101.046081
250.347545,312.725692,63.237178,264.092546,15.399667,19.032368,207.02208
777.504795,815.018033,584.01934,543.173604,7.530241,7.05393,532.414225
362.656463,346.370142,122.709021,311.364428,13.590027,13.145176,64.674753
936.081767,913.667985,307.107835,948.856004,59.53686,113.70953,822.634129
607.952807,644.63947,159.057374,550.471254,29.137276,27.700344,578.511985
1315.11517,1279.683944,607.489176,1174.573206,23.904877,15.331252,1185.566779
360.130537,279.271147,45.718203,169.287239,8.992494,9.242658,177.917659
714.593227,705.22429,204.332329,559.935368,30.576189,23.535542,748.361819
