FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
1.009333,1.009418,1.009074,1.009669,1.009068,1.009068,1.009341
2.535327,3.160147,4.814962,6.689567,5.118823,3.76293,6.049833
49.544248,36.734242,17.458389,14.49868,8.728221,7.151798,27.818721
95.269247,101.645191,130.628579,103.137164,34.58557,49.73345,31.027449
80.197547,49.227238,46.877151,63.084886,39.645415,35.973054,56.049595
67.187054,61.132183,53.216037,35.718389,40.515041,40.264295,45.935638
54.941014,55.141523,38.796321,59.300099,24.941405,19.373924,73.659623
497.468574,444.062458,446.286929,432.961775,253.034293,273.706909,424.269918
49.937487,40.88301,22.484535,37.486122,22.888058,18.013974,23.383768
92.277839,246.561066,133.350095,162.505421,30.223853,31.106785,217.515776
18.394169,18.787104,13.229095,14.34799,3.480446,3.209563,3.086815
63.126226,55.584351,26.215652,31.580519,3.867581,4.202208,20.628131
39.14662,29.719417,32.271279,23.679516,2.680546,1.891656,6.951153
228.89542,115.508238,59.72335,49.128699,8.436849,3.092924,56.969442
49.313238,26.961596,16.683968,13.934242,9.570221,7.795762,9.919534
