FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
7.888691,7.312589,7.086394,5.433144,7.120124,7.120124,7.351291
14.078753,11.727139,9.180309,9.104849,8.973618,9.438956,8.361337
15.817945,15.649098,15.647838,15.586038,14.694954,14.748514,15.457964
36.429494,23.251924,17.336309,25.351111,16.5796,16.632698,15.789711
40.173312,39.73986,34.672511,25.500101,21.556238,21.981576,27.879452
216.094438,130.240645,124.413398,66.115656,141.468818,132.831566,38.175262
107.71608,104.735217,87.250133,67.098032,70.412125,75.539425,47.534524
55.712075,44.697148,22.728352,29.441436,30.879294,28.310043,31.317163
130.38681,68.24639,46.355627,41.09291,26.129094,26.7084,15.99418
18.56271,18.025424,16.286528,16.20376,10.66889,10.195015,11.288307
3.135818,1.98864,2.067703,1.975999,2.801085,2.611235,1.913676
114.619618,36.492472,33.926896,38.250695,29.136347,23.697756,24.14771
44.563189,31.37573,29.618849,33.932641,27.042881,29.239215,30.659223
24.282092,21.395918,15.965646,17.384821,6.813319,6.815359,15.648969
35.171228,23.948408,6.547321,5.656237,3.233198,3.142682,3.992453
49.496944,43.719784,28.517751,41.562903,31.570888,30.600363,40.153832
78.860646,48.344162,12.880796,15.159146,10.730565,7.155939,12.57201
23.139512,12.765649,6.678632,4.662071,4.004818,3.582765,8.824329
30.352252,28.081957,17.722625,14.384591,13.622604,17.758752,13.106914
33.911693,23.999105,7.093906,6.050484,6.794852,5.238586,8.778137
68.763163,45.041978,44.120579,43.456844,38.348781,40.353126,46.017599
144.348133,27.555342,13.155075,17.092289,9.710891,109.293072,11.055478
1.026605,1.035786,1.029405,1.02971,1.032756,1.031801,1.035446
20.851165,18.559254,16.849483,14.864334,9.276019,15.621414,14.700925
1.93011,1.817512,1.762299,1.447907,1.376937,1.368106,1.406334
11.097447,31.862503,8.218082,5.923295,12.232837,18.341842,6.955446
27.656127,16.775701,8.503066,9.978509,8.505698,8.262795,14.274324
27.13645,21.032925,21.086568,11.652172,19.15615,19.053545,13.434445
30.328942,22.010062,7.625812,13.136863,6.287227,6.046648,16.563443
3.426055,6.878172,2.413412,5.891703,1.823831,1.79106,5.843589
39.54044,28.237094,11.628634,24.528831,14.779034,14.230526,24.236895
