FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
15.903228,12.26472,9.90951,9.78286,9.712654,7.452569,10.064543
33.767695,14.933885,11.923006,10.538015,8.845956,8.937831,9.63128
56.113201,75.404506,22.079596,74.67079,17.791883,16.685211,73.360569
89.59718,76.933718,36.055301,53.017235,14.912387,16.898935,33.72995
162.955557,104.054509,44.048561,75.976674,48.437288,22.808183,64.11978
673.695294,472.480566,161.184761,250.613141,144.371055,127.835249,225.906905
355.3524,248.642166,114.773327,176.15791,91.952396,141.132986,117.306693
424.755454,417.321775,60.344874,84.95355,30.751996,26.76488,156.036944
273.324631,131.19256,56.451305,97.308604,22.504895,27.016986,35.736983
71.491628,50.785786,21.814298,35.916508,13.124716,12.40414,35.512154
7.951983,3.438253,2.750659,4.400584,2.158685,2.611401,3.551417
226.331684,153.971439,51.881465,56.711678,55.402289,24.965444,55.924011
154.095669,101.846683,47.786164,66.128678,32.296394,33.655293,44.153447
57.061041,33.876851,27.140331,26.09955,7.164853,7.149639,22.475628
36.840101,47.952154,38.153364,57.729775,6.263057,3.551947,53.497168
136.160333,91.182246,44.55884,61.73,36.398953,36.062108,55.078459
267.587867,130.030188,18.74713,65.259122,6.380112,6.686175,46.5117
103.770193,84.560876,40.556628,67.137381,2.71449,3.553559,67.458381
37.798048,24.45375,12.20635,22.879907,12.662832,17.225113,22.911869
100.524561,59.958412,11.375162,23.19084,8.866255,5.396633,16.977562
271.705415,111.521025,68.530083,75.276083,51.340936,37.733225,70.156297
542.780226,313.71245,28.341538,138.204688,19.913271,349.702085,141.787052
1.201539,1.247255,1.244459,1.321381,1.21984,1.03369,1.325709
51.609776,46.840561,22.082361,23.315167,12.797434,16.837485,23.188269
2.093208,1.978118,1.762693,1.896785,1.532275,1.367725,1.93133
1680.087634,442.904683,143.48925,15.772745,7.193466,12.615122,28.645176
45.01017,30.263607,12.719231,11.372538,4.763868,8.363388,18.169461
111.154846,49.066804,26.546578,30.013966,21.14533,19.11996,29.248504
90.608762,46.917853,9.429491,29.598908,6.326837,6.195488,74.639335
9.472858,7.920239,5.664425,10.667987,2.129645,1.791319,11.757744
96.701334,58.828996,12.984102,28.656716,15.578576,14.604403,28.183074
143.080134,95.809451,56.209534,88.294263,27.49339,36.32168,57.826016
104.90343,35.894074,22.780433,22.777178,10.736668,10.900074,22.518741
360.748279,101.330199,38.619751,78.119185,49.069467,30.241118,51.737587
344.28058,99.744905,56.159149,31.574018,25.771975,35.977153,72.108274
61.637795,40.591993,15.951511,21.193502,16.098521,12.661028,28.876828
59.234303,32.592745,23.68391,19.67445,19.500781,7.374365,21.198064
340.966441,76.631036,45.961071,76.17927,47.68419,40.036205,70.978294
155.029452,174.581254,30.716091,170.380722,15.483409,8.701471,196.207384
22.547189,23.021325,4.216428,18.192014,3.350541,3.506611,18.481213
85.269699,109.072854,36.861754,75.470802,69.171317,91.767162,41.948626
786.967056,702.361003,76.766619,585.402061,56.038314,330.622297,600.299341
63.919287,49.380349,18.884698,25.864921,9.542931,30.261612,26.640739
249.817949,123.684527,77.061771,88.072618,48.804237,45.739714,82.793115
42.529336,23.131781,15.324405,13.614832,15.81929,14.878424,14.092116
114.081176,33.945425,17.627619,17.865571,13.574432,7.45634,15.474089
14.074126,8.323936,7.217813,7.03773,6.998543,6.944685,7.033988
11.059258,5.188989,1.492813,2.932971,1.300493,1.300493,3.074781
82.805035,91.900389,14.897932,102.640599,16.33272,15.949153,100.2643
20.685154,14.552023,13.211035,11.316947,11.365705,12.294264,11.167717
56.880862,51.109465,49.473725,46.680897,47.208303,48.855632,41.164923
60.507077,62.242013,54.502899,56.823474,54.96697,53.466248,55.495038
96.072993,108.449978,104.670754,101.31428,77.622204,76.635349,67.477178
131.257338,103.475815,89.433729,90.248644,87.888056,81.463876,89.727163
48.071331,44.225541,9.884432,17.963371,9.529976,7.040008,17.605524
194.93095,74.876949,56.317987,42.662644,30.367627,32.49383,29.848689
570.94462,453.297484,217.510978,343.476382,350.349271,336.214305,336.188816
248.510885,213.448474,145.442956,189.052507,24.04449,19.402578,189.667619
42.649551,21.058243,7.777511,17.262706,11.276293,11.935582,15.922365
95.252325,76.762987,52.669193,71.489799,59.0744,42.634761,67.826315
475.799217,510.193896,494.564765,507.155306,497.84264,471.022995,226.778664
25.663798,18.170162,16.681791,18.064466,16.72295,18.591554,17.982119
48.424919,45.87074,41.918217,46.673996,42.874152,42.234395,20.309585
545.96654,183.344794,154.144401,180.64347,146.6492,395.354128,128.93425
269.335379,138.779364,158.788729,219.688664,249.671952,103.942717,31.854784
47.76581,4.87566,5.218699,2.843048,3.498681,4.340101,3.134459
23.674247,14.027188,5.82717,5.184477,3.494367,4.290196,4.595591
1.729416,1.422905,1.714662,1.382291,1.377107,1.708754,1.336396
9.087303,9.03177,8.041459,7.72741,5.071425,4.12551,4.107651
236.959733,242.483533,151.531526,241.424291,151.418391,221.675443,243.227832
495.407038,540.552469,503.103956,540.582908,503.034852,495.237258,463.366299
1.093233,1.093233,1.093233,1.093233,1.093233,1.093233,1.078205
1.029898,1.029898,1.029898,1.029898,1.029898,1.029898,1.025089
385.046591,375.264129,300.070802,352.204103,282.013688,280.488697,265.432323
334.286467,206.36869,166.314535,239.572713,143.973398,203.742232,209.891239
340.611628,203.327135,141.247038,161.206715,116.83455,147.066394,144.697791
584.116479,559.449573,557.914783,559.0773,560.640201,558.052312,555.835327
1.010189,1.010189,1.010189,1.010189,1.010189,1.010189,1.008035
85.272622,84.493185,83.769386,84.067152,84.122304,83.419755,46.215374
684.360972,233.186469,281.19869,139.024549,129.364445,316.414104,71.006156
1.00026,1.00026,1.00026,1.00026,1.00026,1.00026,1.00026
82.276412,35.006664,27.941507,30.6992,12.889397,9.913742,9.796759
1.879091,1.998218,1.749842,1.882189,1.701999,1.701999,1.882781
