FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
15.903228,7.573406,3.376721,3.215524,3.215552,3.216341,3.216589
33.767695,4.604728,3.85277,3.666938,3.874464,3.963119,5.603925
56.113201,15.714912,15.131401,14.040506,14.204236,14.234792,15.244441
89.59718,22.204961,19.395038,15.865219,13.478051,10.472558,9.065048
162.955557,22.741132,15.99543,12.872638,10.552425,11.627311,15.294418
673.695294,42.403921,20.129388,20.205889,11.975682,21.497529,41.060228
355.3524,37.785106,32.338931,10.930233,14.331747,81.299811,12.720407
424.755454,46.851787,18.211705,13.929579,16.776865,20.284827,9.118503
273.324631,25.988738,12.527981,26.978062,38.080495,43.712771,17.45824
71.491628,10.159898,6.836807,7.869011,5.973175,5.469375,13.433314
7.951983,2.102065,2.046044,1.643531,1.594112,1.658556,1.660521
226.331684,112.988489,25.836763,26.534818,6.79229,43.001081,15.267221
154.095669,53.28828,32.513477,34.438951,23.765984,24.597884,20.400158
57.061041,8.440255,10.290529,3.937971,3.42231,4.005948,3.277459
36.840101,18.366563,2.184529,1.827686,2.424215,2.414941,2.074547
136.160333,17.936369,29.298418,17.710162,24.33442,22.232762,11.17744
267.587867,68.431022,5.412626,34.2579,4.400733,4.025185,5.175314
103.770193,26.45011,2.895071,1.793132,1.764092,1.386168,1.692235
37.798048,12.371501,11.13359,3.832073,9.894706,14.460346,2.890867
100.524561,19.851712,5.696221,3.839644,2.914313,4.378933,4.123595
271.705415,87.07639,50.723622,65.907778,45.765104,40.0347,42.656751
542.780226,147.511057,10.498705,20.162968,11.23848,351.416097,12.86852
1.201539,1.028919,1.029526,1.020967,1.020191,1.022286,1.027574
51.609776,21.036592,15.293865,13.378014,6.994187,12.928498,13.06318
2.093208,1.324456,1.317917,1.306406,1.226667,1.228106,1.306559
1680.087634,8.68325,2.793573,5.418341,2.591999,6.806301,241.804185
45.01017,5.270881,4.757964,4.799774,5.350699,5.732136,5.083813
111.154846,11.063121,7.494114,8.528715,7.340783,7.167494,7.957335
90.608762,27.281498,6.193332,7.444563,4.230747,6.33339,7.899921
9.472858,2.537939,1.767989,2.295588,1.762576,1.754741,2.430262
96.701334,22.511817,11.184695,12.882704,9.384351,10.17858,12.118199
143.080134,58.547484,12.349022,55.276573,12.064103,9.965557,12.550577
104.90343,15.63073,13.88174,12.15917,5.895501,6.505588,7.629808
