FCFS,SAF,LINEAR,QUADRATIC,CUBIC,QUARTIC,QUINTIC,SEXTIC
3299.673899,27.739137,13.05873,1910.493936,46.061941,2336.468743,2550.181538,2484.406245
7724.389744,8.972363,34.077582,4701.118236,445.15183,3180.918907,6212.643108,7617.18731
5150.76639,16.122435,45.508845,4029.01372,825.523536,2727.493939,3957.150239,6308.304833
10647.923447,183.426584,207.01854,8180.354535,1685.694466,6931.692643,10680.752126,12024.488268
5705.712016,569.68632,396.56924,6591.912959,2673.571454,5521.954508,5420.06278,6334.161449
3546.723836,78.351201,78.267143,2166.883008,1179.137803,1757.769393,2432.559708,3119.74672
7806.882062,100.370282,241.889408,6856.995631,1101.549844,5203.134375,7210.06617,7141.690363
4600.859343,147.437985,7.370388,2665.928303,70.625312,1574.677465,3618.411764,4562.195418
13657.798634,254.719449,2308.962444,7355.293449,3716.926235,4955.80802,13522.762002,14915.258007
12396.730626,1688.630115,2239.845434,11572.718815,3825.235837,11212.53379,12222.564328,11220.006543
5293.591266,38.369911,322.490988,5072.528736,2012.740022,5486.995748,5132.925163,6915.586118
13903.957562,1979.43539,4590.09321,13217.721478,6452.112527,10180.684253,13281.179722,14251.986491
5436.293106,26.28567,8.026171,5166.566661,76.179983,1552.643204,4815.099752,6404.181112
4975.828312,40.543056,47.704606,3228.664221,66.469377,1719.09514,4418.937794,5270.689345
13601.530349,1315.050893,1269.067205,13199.95243,4771.937482,6173.23967,13309.635557,13051.677038
11158.313903,674.395311,1555.132224,8473.26827,4428.473705,7343.525927,11998.694975,12084.44014
3086.507086,5.690141,6.96997,2514.68178,67.134833,1211.451081,1699.271483,2758.404061
4767.246405,6.461483,8.09373,3803.874582,2398.20138,3650.93446,4556.359952,4054.037827
11075.743264,74.604126,76.472289,9310.006938,1556.464559,7029.851103,10492.179614,9973.566299
12910.986127,2866.142009,2060.455379,8431.1197,4896.736971,8871.123663,9798.782978,8928.519965
2866.976901,10.986426,9.690333,2139.539592,22.042584,2263.309011,1877.260093,3328.673237
9848.271663,17.059393,317.290776,9499.557385,4465.721992,5858.133067,9594.201172,10002.968366
12815.676945,1325.172587,1643.989339,11297.719672,2755.570841,8894.950093,11231.047809,12099.076032
9455.254417,52.162369,458.169535,6607.385524,3811.693652,4406.445756,8797.230481,9436.013291
1005.595438,9.079263,4.921112,635.388731,15.334286,636.979357,439.926517,1017.99674
4726.81419,7.425261,10.514843,3959.67279,1078.471661,3355.049426,5009.614382,5386.12411
3068.845183,4.744829,12.298127,1806.982198,157.659742,1449.022394,2860.822261,3281.964101
12929.476441,139.123215,873.542596,9446.18189,4303.52412,8905.494558,11601.61744,13837.563621
3357.649884,8.968978,14.669798,2641.582765,790.137596,1812.171206,2747.140211,3592.715174
12470.690075,994.035477,821.946374,9726.203327,1595.533123,5133.331203,11963.734758,12224.399117
9433.885607,556.257279,412.008769,7458.29467,1536.806632,5679.8193,9304.404626,10490.045099
5235.320226,7.631633,13.353632,3726.339453,1005.278693,3032.813278,4355.273253,5111.546131
9377.038095,805.369419,1260.155773,7258.003593,2614.780017,6145.620558,7266.936449,10490.563255
6734.488496,8.580478,41.547511,4680.293689,1107.633213,4902.059303,6074.192946,4642.708884
4000.493071,16.674225,34.949532,1973.378885,24.600693,1661.448911,4099.299814,3808.315492
5806.259748,10.371684,13.072101,5902.872816,1490.646389,5005.832947,6434.222259,6083.638412
5571.771012,10.798069,13.421933,3037.006604,877.921482,1908.702956,4136.016335,3973.503687
6726.049529,6.993166,15.635942,4065.412515,933.672726,3803.299205,5616.352838,6008.545405
10286.247085,78.939657,182.400489,7719.070726,3611.493235,5105.507874,10227.666056,10896.41183
11109.293596,246.476359,725.468391,7901.42892,1323.570248,4679.087504,9312.011799,10290.949899
4889.923703,20.469384,30.39587,3188.468455,1233.999466,2869.163527,4216.434012,4936.250184
14660.251656,2926.886377,3091.365741,11359.922106,4671.718844,10156.163528,13302.320286,13845.689624
1281.526909,12.957622,11.393015,1103.31933,25.360703,912.746562,637.513672,1306.58968
3814.929518,17.933333,23.86368,2801.508739,2272.921607,2468.563961,3752.26525,3361.122553
5424.429263,9.511284,15.175039,4509.561919,1769.982453,3545.014331,4779.539445,5402.934724
7087.145067,46.807947,118.69133,6544.013718,405.771229,5435.822122,6567.287839,7611.121872
7466.538947,235.528968,461.887868,7892.640492,1793.593513,4845.485647,7722.60704,6677.068592
10436.160672,994.944281,1743.246868,9603.192908,4624.383264,7267.075916,10231.487589,9526.764716
7224.491848,6.097935,119.162645,7397.652915,2425.031275,6823.864155,6309.192404,6914.334074
11248.549071,249.616739,90.203005,8423.998416,1861.732586,6003.093554,8802.959338,11857.245821
