FCFS,WFP3,UNICEF,SPT,SAF,SEX,QUI,QUA,CUB,SQR,LIN
3299.673899,1119.72495,1683.714621,129.05961,27.739137,2484.406245,2550.181538,2336.468743,46.061941,1910.493936,13.05873
7724.389744,6148.605737,3784.30889,3609.767428,8.972363,7617.18731,6212.643108,3180.918907,445.15183,4701.118236,34.077582
5150.76639,4492.068241,2713.854381,624.406781,16.122435,6308.304833,3957.150239,2727.493939,825.523536,4029.01372,45.508845
10647.923447,7932.00471,5653.46879,5932.472695,183.426584,12024.488268,10680.752126,6931.692643,1685.694466,8180.354535,207.01854
5705.712016,4633.700972,2898.834649,2476.761812,569.68632,6334.161449,5420.06278,5521.954508,2673.571454,6591.912959,396.56924
3546.723836,3247.230694,1206.052873,836.178378,78.351201,3119.74672,2432.559708,1757.769393,1179.137803,2166.883008,78.267143
7806.882062,6190.340663,2980.815353,3579.005714,100.370282,7141.690363,7210.06617,5203.134375,1101.549844,6856.995631,241.889408
4600.859343,3318.036646,972.721973,682.417621,147.437985,4562.195418,3618.411764,1574.677465,70.625312,2665.928303,7.370388
13657.798634,8697.634297,3287.125724,5076.116774,254.719449,14915.258007,13522.762002,4955.80802,3716.926235,7355.293449,2308.962444
12396.730626,7548.848532,7472.20202,4763.970153,1688.630115,11220.006543,12222.564328,11212.53379,3825.235837,11572.718815,2239.845434
5293.591266,3668.169821,4204.771588,1622.294302,38.369911,6915.586118,5132.925163,5486.995748,2012.740022,5072.528736,322.490988
13903.957562,12340.780243,8030.835268,8209.308368,1979.43539,14251.986491,13281.179722,10180.684253,6452.112527,13217.721478,4590.09321
5436.293106,3410.853801,2732.22688,1185.732154,26.28567,6404.181112,4815.099752,1552.643204,76.179983,5166.566661,8.026171
4975.828312,3847.98429,1899.618432,1133.831417,40.543056,5270.689345,4418.937794,1719.09514,66.469377,3228.664221,47.704606
13601.530349,10708.534453,6759.16023,6908.865192,1315.050893,13051.677038,13309.635557,6173.23967,4771.937482,13199.95243,1269.067205
11158.313903,7793.844042,6030.317642,4750.162858,674.395311,12084.44014,11998.694975,7343.525927,4428.473705,8473.26827,1555.132224
3086.507086,1070.980493,1085.402654,257.801566,5.690141,2758.404061,1699.271483,1211.451081,67.134833,2514.68178,6.96997
4767.246405,2943.102969,1868.269845,1703.685893,6.461483,4054.037827,4556.359952,3650.93446,2398.20138,3803.874582,8.09373
11075.743264,9975.026417,5108.29066,3879.551392,74.604126,9973.566299,10492.179614,7029.851103,1556.464559,9310.006938,76.472289
12910.986127,7019.188117,5839.289486,5541.841985,2866.142009,8928.519965,9798.782978,8871.123663,4896.736971,8431.1197,2060.455379
2866.976901,1660.206766,667.272462,583.610383,10.986426,3328.673237,1877.260093,2263.309011,22.042584,2139.539592,9.690333
9848.271663,8634.058563,4961.151506,3787.659707,17.059393,10002.968366,9594.201172,5858.133067,4465.721992,9499.557385,317.290776
