FCFS,SAF,LINEAR,QUADRATIC,CUBIC,QUARTIC,QUINTIC,SEXTIC
7499.1712,29.536271,1165.064558,7737.746327,2762.799333,7786.91318,3231.018352,4730.548193
9344.446725,43.475852,3640.725134,9677.750851,7004.798761,9482.028815,6283.013905,329.793351
5126.256627,16.746743,2503.372762,5325.712383,2770.924182,5073.240365,2694.047147,5703.0969
5538.22828,35.769788,4396.871498,5563.66911,2936.352497,5538.227778,2936.352715,8692.38144
4213.10749,8.313945,300.724659,4023.385255,150.16718,2828.946372,762.786833,2145.253196
11109.607406,243.212163,6651.185079,10902.360232,11731.742623,10280.98981,11729.696531,2359.557367
11444.204317,11.267142,2486.392869,11048.963197,3452.190257,11442.0306,3337.486284,734.41425
7704.90093,39.720715,2772.406965,9799.351303,2483.229423,7704.730555,949.706764,975.222454
7070.390823,62.179382,2814.907534,6938.315952,3812.982549,7062.602681,3748.132172,5363.233338
8853.738516,20.341068,2743.244642,8440.252898,3763.129363,8310.810863,3651.215466,1751.710808
6220.640889,26.810083,1414.962979,6134.514057,2859.865882,6139.075968,2817.023225,4480.892001
9363.122694,137.070639,4452.257091,9684.682808,5338.562697,9780.737634,4751.653451,8106.084122
6508.781562,13.905381,676.128967,6493.303449,2314.99122,6550.497544,2230.944396,1642.867768
10184.051714,915.844225,6340.63399,10758.368919,9502.666932,10032.580892,10625.157185,1171.41423
21740.858037,3368.712986,10958.089735,21349.95976,21086.943634,21754.974638,17226.385403,874.458938
5013.515871,44.231504,794.243098,4942.823509,1352.677798,4998.331949,1324.806065,562.701001
8576.203487,21.508928,1461.410674,8953.444628,2468.083108,8334.914136,5354.011513,6454.293295
13923.55559,241.380967,4592.463529,14174.021706,12790.153753,14093.008256,12779.831799,745.212617
4299.770978,112.84795,1091.492204,4246.391963,3650.629083,4299.770978,3650.629083,2045.33821
7830.579432,11.735447,714.886437,7362.132694,2863.195486,7864.430978,3489.744619,260.697659
4504.360674,21.123307,307.596163,3912.308634,631.66061,4504.140073,603.345112,9025.297336
2783.258687,10.806559,280.748645,3002.009128,736.266066,2848.304482,736.180233,5890.112288
17850.656754,2504.05849,10030.152309,17918.364067,12945.863224,17847.304837,11070.387555,464.003683
10116.498394,38.960679,4305.577416,9258.690632,6429.573551,9782.736645,5585.387472,337.035566
9218.642261,63.881958,4229.529717,9332.238203,6669.986417,9251.182947,5536.653257,437.12938
13871.413735,662.114276,9377.500185,13518.109629,10815.036878,14235.911179,10796.428846,1378.693209
8770.792316,18.188209,2109.168875,10382.605228,3754.056631,8770.790198,3748.080286,740.811448
2313.036054,13.388844,304.630075,2532.999332,213.606999,2309.198473,205.671601,3010.801448
3885.77275,70.469182,1382.943116,3700.694776,721.3773,3849.810925,665.692082,291.116725
9676.28364,19.106899,1909.141916,10751.482721,7115.623235,9394.522842,6750.98734,2913.165346
2842.79586,19.303913,45.220513,3529.769728,815.775978,2519.376375,773.993999,6643.148422
5780.164584,19.652518,663.92609,5349.776366,2027.152887,5240.325501,1613.857858,5930.696571
14397.432387,831.633166,6986.968567,14148.778362,14497.384521,14491.202761,14494.210241,734.247171
9901.168508,137.360753,6329.050143,10657.107245,9813.009147,9680.513587,9793.68135,1044.551934
4760.403698,25.947411,408.435845,5854.070948,2421.567444,4647.702346,1613.55013,367.71644
9947.358814,280.8948,5791.831312,10037.070313,5064.201009,9945.222703,5062.87711,602.373561
7517.806546,13.814636,1767.802473,7198.493507,1197.613315,7563.047157,1169.804858,1603.821417
8879.809131,36.503487,2324.731514,9001.601515,3234.310775,8878.793969,3067.673293,5125.225904
3419.9015,15.009545,20.431482,3856.274306,2883.596767,3376.254439,2852.310108,7160.227698
8538.930405,27.241289,2746.426194,9616.360685,908.911881,8480.807095,972.145855,365.958354
9902.096806,20.060974,1260.790885,9996.747694,1483.148957,9771.196152,803.609892,1327.215989
3751.209682,27.023123,304.359895,4361.569046,514.59408,3801.452827,507.13996,466.901928
14414.252349,948.793285,13286.803617,14181.786484,15481.353832,14546.641049,13642.642658,254.750581
6708.790783,16.075545,1856.145848,6082.210439,4167.506021,6706.352998,4166.986708,669.409787
7456.152557,15.186662,453.924454,7043.681926,5311.566876,7309.801148,5496.839099,4077.026062
14460.476072,771.669286,8499.428809,14599.011455,11922.787566,14292.913114,10852.910148,779.906257
1943.797016,40.119447,713.433856,1718.124394,2084.48776,1906.765286,2058.192232,269.313165
7881.950847,158.556038,3275.088079,8699.690787,5471.090183,7883.386959,5395.140445,548.323217
11834.54355,14.349463,6195.656449,12230.07222,9504.347189,12541.262449,9492.783159,6636.157571
6096.044576,25.968322,1349.526921,6100.325392,1390.105803,6097.922614,1389.578086,279.539546
