FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
28.584651,14.757643,13.586724,19.157521,11.693338,10.189392,11.810331
36.486458,20.753083,16.491577,15.234205,19.06501,17.78013,27.375723
82.024354,68.026513,43.61095,10.141604,10.96548,9.715306,21.362823
36.321292,10.436442,7.593697,7.8944,7.739056,11.773841,10.713891
16.37069,12.862989,6.426048,6.256208,5.179672,5.661809,6.302798
48.181763,25.418975,12.561466,10.263848,8.04382,9.606717,22.482375
64.223723,23.058432,17.958329,20.835508,14.99313,8.808416,16.987117
13.716617,8.600147,10.969656,7.106461,5.781823,4.69727,7.375535
11.106849,10.065382,11.581398,6.494462,5.244199,5.731138,7.405651
39.292695,31.603424,25.120736,26.004042,25.744641,31.6821,26.961178
6.521332,5.494209,3.376099,2.430805,2.84197,3.107258,3.460218
19.301318,7.274096,7.25142,6.369754,5.94758,7.948028,8.826804
15.899894,10.42179,8.513005,6.453752,5.263917,3.069119,5.247634
17.230593,10.758162,9.297935,7.171095,6.372604,7.652693,5.606152
5.733986,4.087924,3.928537,3.160092,3.725021,3.622543,3.4561
19.249712,9.447475,9.406934,10.846868,9.686706,8.429815,12.563306
4.08934,3.976911,3.84504,3.330411,3.588057,3.352353,3.304351
24.709617,13.388989,13.431272,10.026994,7.800692,9.125135,10.454103
18.950847,11.896758,9.916946,11.396003,7.42216,9.127449,5.21629
11.674249,6.779004,5.120892,5.907096,5.482089,8.045293,9.724592
9.665967,4.775761,4.071151,3.34377,4.819208,4.466914,3.993441
13.42673,5.829052,7.245628,5.042032,5.170785,6.683175,4.642402
20.759176,12.789084,8.930193,9.577313,7.774816,10.123541,8.963458
16.411303,9.971122,9.658052,8.784142,7.794341,7.238588,12.694335
33.903356,9.381371,10.489223,9.112039,9.123884,8.617018,13.822774
41.603525,12.158342,9.909093,13.013106,6.348754,7.622065,6.638805
11.089711,5.756386,4.936624,3.891541,3.058418,3.142052,3.502845
17.945523,8.476568,7.062924,2.947874,2.436624,2.804133,3.988472
42.477566,18.516207,9.634779,6.862887,8.95634,8.893226,13.069633
44.309461,12.923271,8.505233,7.459603,5.538135,6.003694,7.510105
52.785077,12.129121,8.990695,8.305532,6.079059,6.250157,8.156036
57.582037,14.895386,11.988205,12.469098,13.906507,11.961995,14.65869
48.946707,13.073497,12.623347,7.227716,4.262599,4.20134,5.714386
39.113083,41.584292,37.601566,31.671168,25.726936,26.822682,36.912712
14.537522,6.566428,6.331707,6.57041,5.037942,5.434555,7.032826
20.575583,10.413605,7.4935,4.171068,4.636581,3.566255,4.551017
52.235772,22.045226,10.269537,8.191186,5.150008,5.352715,6.629583
24.063585,8.695669,7.302473,7.15504,5.749518,6.678971,5.904364
43.442357,18.400369,21.249711,14.637569,14.284904,9.584196,9.652406
99.334195,33.911141,10.923382,11.458122,7.084132,7.386855,12.575908
22.962118,8.78822,8.722611,6.333947,7.417955,6.621559,8.607137
15.524018,7.115614,5.951095,4.684547,4.203731,3.62853,3.785745
139.069256,82.618944,83.135096,82.041705,105.210509,123.387784,128.850823
2.01923,3.232681,2.338004,3.039912,1.591173,1.594862,1.867325
335.031857,72.485293,61.018501,38.094366,18.632077,30.768972,40.404953
51.426488,33.43652,18.57518,33.649465,6.425025,4.948138,17.420924
71.629604,30.543577,16.644457,16.120217,10.339458,11.155496,18.383336
98.654202,47.49662,52.751137,77.308305,117.278045,92.228503,213.503279
26.676406,10.491818,7.347536,5.789061,6.424469,10.780027,13.662764
34.684632,26.841729,25.004199,17.722219,7.518308,8.418686,13.873642
34.918757,37.541444,34.713603,29.245654,19.753267,18.266116,27.315141
48.31775,24.743202,29.729658,84.126764,9.54217,11.275771,9.472697
81.119938,24.597513,19.54426,25.508358,48.685363,83.992894,30.653265
108.758859,38.240985,32.536598,16.969521,23.841772,70.537051,25.918054
111.173875,44.400107,26.923253,20.55903,14.032862,17.021437,12.032312
659.353174,161.638017,119.853765,29.319792,62.974382,63.422339,112.108847
95.336328,16.311899,11.197676,9.714579,44.634883,30.471124,12.205206
118.676965,23.603728,17.272105,5.443392,6.616017,7.269731,9.554484
384.751093,163.893939,102.759377,51.093698,25.538886,34.935298,68.921214
38.284935,16.800341,20.259504,17.470126,11.191466,10.636074,17.924583
47.239527,35.424949,28.57454,33.94542,42.624403,21.519201,44.012818
30.027841,20.747775,20.238173,13.038397,25.783389,8.225189,32.860914
164.038495,61.202455,46.950709,16.446051,14.453198,62.328775,19.977608
142.853316,67.900101,43.048658,15.978832,10.793585,10.833017,36.909088
