FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
24.009503,17.327822,17.03303,14.89573,13.587213,15.556386,14.451755
19.218532,11.912112,11.032745,9.037794,9.293289,14.408076,14.681625
9.17397,7.026829,6.596254,7.148984,5.821175,8.458793,9.628759
18.039911,14.094137,11.886993,17.650495,9.243594,10.693086,9.793636
30.494701,12.340015,12.582303,9.899179,9.93471,7.879584,9.524375
27.461622,21.512286,15.016719,14.524665,14.719041,14.926442,10.262703
65.061063,51.672469,32.522415,37.580067,21.855749,21.720059,33.32974
20.274588,10.853796,14.76273,13.568318,8.581638,7.631709,7.434822
9.151869,8.376696,6.77223,6.357167,6.402747,7.461587,6.47885
37.469353,24.59029,24.206664,20.783568,21.175769,29.906048,25.251062
87.591328,54.816241,55.584453,26.892033,29.901284,38.565935,19.12404
324.140916,83.693846,60.751466,62.372871,41.467797,42.482039,52.017925
43.983693,32.535419,29.890607,28.265452,25.443896,25.145977,33.187672
10.452433,9.940522,10.63161,11.893946,12.605764,12.602174,12.867955
14.073878,11.14777,7.25054,6.788496,5.636429,6.659009,6.174471
63.339349,25.302883,51.892871,37.255197,39.044276,38.283619,40.409535
75.447376,76.061888,31.806523,56.930323,29.903394,14.909833,18.295572
39.817704,41.15968,28.005718,17.965701,34.640986,34.243241,23.426898
45.953222,42.160405,34.746569,26.379669,14.029041,17.041475,26.991808
101.107435,68.387628,89.686549,38.04848,23.21963,20.4255,49.861122
224.603469,52.402581,39.822625,34.111185,28.027878,23.258947,28.298925
42.433435,24.618624,22.154976,16.003267,14.233941,15.806065,23.530675
162.47535,80.607031,71.989312,41.126122,42.350119,39.369869,33.9799
137.488729,76.890806,74.520598,54.267264,39.149284,63.946225,48.896499
59.009239,25.039092,28.492823,37.712868,57.917591,27.764711,55.387962
225.537232,130.893742,77.49391,62.620413,32.617984,51.986287,56.749548
142.708453,53.098945,56.829164,33.338838,57.558923,46.680147,26.969479
848.107739,294.510081,222.815264,56.752366,51.920551,64.613437,91.786027
157.743901,89.479187,76.885651,29.681645,65.201704,55.956485,62.211959
68.346055,41.611305,25.314068,20.88266,18.321854,22.032474,17.160833
112.028628,38.361176,49.612495,28.383544,21.603796,24.854431,21.086828
416.774649,99.312801,97.478021,46.309995,29.428774,35.993509,27.52553
66.375758,69.93017,41.443204,38.865994,34.940111,30.87783,31.501052
70.016812,51.998096,30.653569,23.623828,21.861979,21.474274,22.623595
187.510106,119.201333,77.750997,38.313473,27.175642,22.298715,82.265141
53.593692,37.851604,30.946585,31.742179,28.042372,31.883821,29.906986
234.820967,99.598034,77.325911,42.942166,66.715361,71.209496,54.939571
134.042463,42.870268,36.056987,30.621108,34.331897,21.623634,26.229543
179.856802,51.094155,39.39443,51.94289,48.138855,64.185651,49.926819
68.228382,41.055127,19.305208,13.680959,14.688183,17.286191,26.58519
91.573202,66.580117,40.208481,48.330719,41.206929,47.494239,40.826687
143.921641,75.292174,67.332919,39.860124,27.525061,35.517216,72.942538
72.501234,33.975914,32.661127,16.507966,11.36876,10.343612,30.815395
64.049387,35.836589,55.112733,28.096014,31.268274,32.234304,46.983614
21.014412,18.816747,16.851019,14.46171,16.773037,11.239823,17.449221
22.043171,12.982273,13.564125,14.015118,11.304658,12.376347,11.075842
53.505055,45.985946,47.218869,39.990359,25.855272,36.807356,30.48442
