FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
121.618905,51.966463,42.110507,30.335964,16.08475,18.658614,24.06163
207.909423,68.807416,41.954286,42.065648,14.880712,21.818393,27.769923
111.471471,30.393788,12.425628,11.415671,6.418809,7.161722,8.584585
342.174817,258.89513,41.491397,68.713416,16.3607,13.185861,26.113334
236.796051,165.970562,20.13812,47.5278,11.440913,9.02627,22.371839
288.327864,55.021069,23.540845,14.678843,12.808768,12.833012,12.025377
480.78734,274.186811,76.158089,66.539256,16.509278,54.86888,68.339979
101.130741,31.315869,20.837739,20.965952,9.372052,8.311159,13.751986
101.784911,27.886243,12.17894,11.843622,6.708444,8.038679,8.280818
156.040413,47.354302,30.035952,19.347591,20.621582,30.035384,18.743711
612.243523,703.725236,274.767719,283.775667,241.594242,160.966941,507.311482
1214.922505,617.616405,74.463291,57.01179,41.89865,46.117092,59.331531
194.822977,65.601789,31.986132,32.689696,31.081644,32.847334,48.070099
46.090529,20.835649,15.350339,15.891643,15.027108,12.509779,13.919806
334.098364,62.79082,28.204382,10.524772,7.05056,6.658489,8.940928
310.935028,128.695272,111.304619,55.921352,45.397387,36.448731,85.267592
1332.395113,815.160279,210.304209,143.685995,33.235923,22.207321,62.431822
929.110938,445.057736,57.684896,45.276911,33.384376,44.032368,104.020547
1361.120401,965.704173,301.261886,57.04761,36.924716,25.582839,117.153072
1320.653315,728.737883,210.615514,75.260328,43.808825,20.450273,349.814871
1588.750034,1677.110868,142.053312,95.668587,22.932319,35.309605,83.713253
370.492976,114.143817,33.677374,29.365491,16.665383,16.277623,39.888873
866.608119,419.09892,217.367969,112.065804,65.010972,67.442009,94.411742
2317.496607,1427.029474,419.473711,192.957582,66.300713,537.168555,608.710337
584.358603,258.035674,137.550495,67.513564,118.014347,241.229247,76.088247
1816.9455,821.650168,248.349249,289.048236,61.560767,249.537994,588.568118
1320.953625,987.962855,263.772436,427.865675,171.230982,107.26099,353.892313
3405.691704,2710.760621,928.431164,1648.992539,205.667659,160.167452,1803.868815
1323.283758,273.678214,145.828161,44.925191,85.604453,48.045756,56.744616
447.084018,174.623297,77.591471,45.191052,22.818579,20.474726,66.426176
1267.476443,314.793218,102.453461,48.433409,14.253328,23.232487,56.053225
1941.991454,847.190284,331.241076,81.70622,24.254801,45.613827,483.470623
648.614369,241.588193,141.80153,72.040508,36.587937,37.878556,73.06277
1119.23209,296.405917,433.29066,44.079351,59.488286,158.257072,42.339393
1019.063537,287.715499,134.419347,153.101188,20.236483,15.375735,154.52192
514.154297,93.395693,56.827573,47.682394,28.185263,34.220704,49.239186
2492.174547,814.102885,108.857799,165.179946,59.738089,80.037523,236.524709
629.598263,243.863456,102.260118,45.504508,52.364093,18.549404,43.803041
1030.408764,173.357241,91.57315,54.890477,43.495585,62.96477,51.249561
381.239487,111.360919,49.182205,30.755997,14.030852,13.709088,45.185661
700.608958,228.782475,78.425286,53.862144,47.631674,55.241529,66.98029
1211.156737,450.324354,128.306266,145.190765,30.525942,25.949,170.970618
669.558551,330.180426,76.916378,55.507633,11.446864,13.225694,133.821181
921.079625,221.816439,94.649883,35.500328,31.944768,51.132115,60.294059
281.679495,97.406791,52.116796,24.619675,18.966602,15.879545,34.272835
259.746319,67.287664,23.253194,24.541621,12.117235,12.612621,16.979176
599.467508,116.950978,121.983009,43.46909,25.992761,36.375272,31.764635
