FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
121.618905,27.580872,16.328977,19.039136,8.736038,13.247194,19.447818
207.909423,17.091033,11.489027,14.687728,6.005676,16.707249,4.646304
111.471471,23.364785,9.080715,7.870518,4.394754,3.917,3.828745
342.174817,24.878724,8.840894,9.245371,12.437722,13.023795,6.849452
236.796051,11.509664,7.587003,5.036934,4.38179,14.681568,4.6502
288.327864,63.175661,19.188128,29.153783,8.996861,9.62754,10.213219
480.78734,91.614112,15.503071,10.026302,15.181081,27.568368,12.670799
101.130741,12.01672,12.122702,13.233437,7.165744,7.874291,7.976598
101.784911,17.511668,5.874667,4.803039,4.558482,5.788896,3.64389
156.040413,15.743564,21.925341,18.736694,17.696935,11.203554,9.769175
612.243523,538.482821,231.390507,316.008324,207.527875,141.780956,92.200486
1214.922505,482.942528,70.620002,24.282217,50.614336,44.012922,41.684254
194.822977,32.664792,15.90653,13.777104,18.993922,27.185324,21.871367
46.090529,12.036467,8.196703,8.411297,8.858965,7.396677,8.309457
334.098364,19.377554,9.474355,8.694787,6.115323,6.300122,6.096807
310.935028,57.435376,26.134368,20.952693,17.112863,21.467058,26.564334
1332.395113,214.542028,46.810755,11.561642,4.775603,4.077456,23.788051
929.110938,56.667917,19.378221,30.812095,16.796291,40.604679,23.468948
1361.120401,468.687547,286.811656,259.300344,12.976137,10.02971,50.822299
1320.653315,115.666618,25.836641,40.924549,25.375856,37.588503,36.71818
1588.750034,1189.135433,41.232297,30.066595,14.617727,26.138615,39.680033
370.492976,77.404396,17.707732,18.288809,12.299407,61.660014,17.452524
866.608119,102.677392,35.006784,24.926585,6.717185,11.33993,18.407593
2317.496607,224.248112,121.129506,53.045491,27.374423,311.137889,27.930582
584.358603,63.184475,74.93067,38.141758,27.402772,139.619618,219.863451
1816.9455,472.237013,73.882515,106.624287,30.924653,123.746842,395.69348
1320.953625,745.432231,89.793636,183.346282,8.53201,39.763196,267.058001
3405.691704,2248.789059,561.939436,952.911022,31.066466,51.002457,209.238139
1323.283758,31.479587,51.084211,108.113967,60.528873,87.75892,46.246876
447.084018,37.473602,14.431777,13.718932,9.816004,13.270881,7.928526
1267.476443,104.301718,20.653245,29.201725,13.451384,15.575734,14.264405
1941.991454,364.028069,70.56674,329.545472,8.587467,34.829517,27.909459
648.614369,61.353893,44.803243,13.399437,13.964243,29.324899,22.570359
1119.23209,86.638365,51.172257,13.639241,4.564419,14.050558,9.967799
1019.063537,90.883668,40.28243,47.775944,13.84733,14.822702,21.598835
514.154297,40.452312,16.037087,21.775419,11.191423,10.468604,13.141237
2492.174547,65.349341,34.044513,30.828023,21.601684,15.17836,17.048653
629.598263,45.343834,28.456434,54.631807,31.756954,19.508846,12.19295
1030.408764,49.649884,28.910609,21.716805,20.495013,27.424965,28.955214
381.239487,26.066682,18.34547,15.566884,11.82611,13.665184,9.141778
700.608958,71.874259,23.449335,27.320145,36.699541,26.053132,37.21071
1211.156737,55.771911,37.708772,28.665562,27.801671,28.541888,45.654006
669.558551,59.59881,17.024854,23.13447,5.427967,11.780592,11.204001
921.079625,86.916247,35.352022,25.885614,31.430632,36.088164,24.329828
281.679495,33.059873,26.360104,13.214849,9.332556,11.60568,11.302102
259.746319,28.931495,12.534199,11.722191,5.815674,10.647226,8.708477
599.467508,40.108945,23.463922,13.32816,18.871152,13.881105,16.378959
