FCFS,SAF,LINEAR,QUADRATIC,CUBIC,QUARTIC,QUINTIC,SEXTIC
7499.1712,29.536271,40.379964,7110.656704,2585.708666,7254.614773,3713.652167,7346.732188
9344.446725,43.475852,28.580106,9494.005679,4905.034689,9609.668967,4909.889872,10847.022563
5126.256627,16.746743,29.742334,5151.000199,2547.145919,5937.992293,2349.789082,4599.172291
5538.22828,35.769788,614.603025,4870.37582,5077.410375,5254.565975,2094.750315,4652.776308
4213.10749,8.313945,9.853794,1998.916466,166.08913,3101.142097,340.332062,2084.720943
11109.607406,243.212163,1641.211837,9059.480214,4667.835861,10000.092441,8127.964387,10705.610344
11444.204317,11.267142,34.365175,9437.332541,2572.477534,9602.484842,5118.321972,9877.163481
7704.90093,39.720715,21.890255,7573.677362,1441.899493,6649.294829,6177.818215,6557.281077
7070.390823,62.179382,170.642113,6845.473241,3102.911899,5805.194416,2939.433715,6123.673978
8853.738516,20.341068,56.895701,7157.965737,2129.46402,6554.688118,1297.674757,8437.145022
6220.640889,26.810083,16.93034,5226.372166,2927.535922,5201.552562,1750.002141,5283.965912
9363.122694,137.070639,696.905014,8341.438863,3459.980883,8990.753956,6937.624252,8756.717766
6508.781562,13.905381,70.568699,4554.52865,806.462926,5495.196833,5261.267257,6649.06024
10184.051714,915.844225,2821.89613,9806.755698,8135.98233,10221.655298,6634.941671,11320.250357
21740.858037,3368.712986,6914.677768,20169.869977,14922.845396,18715.432674,14296.780634,19788.759918
5013.515871,44.231504,44.199833,4850.848566,1482.111096,4398.337511,662.322869,4488.365471
8576.203487,21.508928,371.822139,9183.620206,1394.911737,9599.423128,3432.227739,8317.233238
13923.55559,241.380967,717.913172,14486.854182,2778.364806,13921.589931,9673.49581,14195.479949
4299.770978,112.84795,23.544403,3986.037589,3576.194253,3926.185107,3704.318031,3859.810445
7830.579432,11.735447,57.101712,7131.822234,782.940648,7478.116228,906.914829,7294.689172
4504.360674,21.123307,29.817417,3304.944908,3197.010315,3777.749022,3162.916917,3503.73314
2783.258687,10.806559,21.81372,2745.76845,489.903006,2852.426003,405.199741,2670.838263
17850.656754,2504.05849,6086.01061,18267.917841,8421.297294,17272.438509,8477.765987,17142.350392
10116.498394,38.960679,54.020326,7813.554815,4262.007168,8729.73293,3515.813628,8874.648914
9218.642261,63.881958,845.802997,7536.69078,2836.333689,8548.816115,5702.544249,7608.939896
13871.413735,662.114276,3448.364328,12340.129529,8341.972995,10764.469208,9758.03807,11732.778049
8770.792316,18.188209,888.80518,7918.099166,2956.77828,9504.455115,2017.107669,9506.740659
2313.036054,13.388844,22.611748,2241.82172,220.09665,2220.948866,205.739483,2108.348665
3885.77275,70.469182,85.031047,3392.176543,3302.827617,3337.211445,3125.044335,3480.235171
9676.28364,19.106899,31.860358,9522.371232,535.109202,8688.094272,2883.535721,8927.205471
2842.79586,19.303913,19.378711,2760.738548,419.057965,3519.886193,371.84116,2266.503592
5780.164584,19.652518,19.352498,3921.198662,155.832027,4646.663788,2088.890927,3665.965454
14397.432387,831.633166,2787.52085,14137.740507,11172.567884,13087.291281,9734.737789,14375.516883
9901.168508,137.360753,4476.35281,8482.369028,8714.495174,8976.980445,7725.367058,8670.558805
4760.403698,25.947411,32.366599,5063.872278,1516.555329,3857.595242,3461.3083,5489.315998
9947.358814,280.8948,2815.322009,9596.721223,5410.232519,9488.877523,5390.452997,9620.976596
7517.806546,13.814636,38.352075,6711.595736,1530.749027,7147.283971,1486.938988,6669.07164
8879.809131,36.503487,57.619367,8382.611072,4129.874843,8303.339779,4033.734475,8011.920472
3419.9015,15.009545,16.695113,3574.468801,2986.853333,3548.564596,2679.74572,3376.316008
8538.930405,27.241289,17.49593,10094.563951,732.56688,8870.898909,6711.594005,8571.45719
9902.096806,20.060974,60.894449,9224.315886,1672.413214,7855.764939,1141.087284,8948.023813
3751.209682,27.023123,18.296085,3187.10068,2093.805144,3741.495402,1395.768038,3460.443554
14414.252349,948.793285,3113.944942,13029.969258,14798.990458,15514.150208,14446.812761,16560.399933
6708.790783,16.075545,23.060386,6270.098095,3448.509903,6202.039217,3199.067786,6088.525066
7456.152557,15.186662,20.782166,5486.712834,534.523096,6421.086965,3363.237455,6020.833674
14460.476072,771.669286,6034.218124,13740.289498,8720.759924,13097.380838,10383.80205,13710.615857
1943.797016,40.119447,37.87838,1574.860748,1948.809073,1915.689933,1826.06301,1579.845247
7881.950847,158.556038,718.902981,7559.826218,3734.401623,7697.456507,3432.239011,8085.848947
11834.54355,14.349463,248.514176,11523.973896,9790.262059,11833.355095,11465.927361,12803.825068
6096.044576,25.968322,41.022497,6333.791399,956.888862,5535.540102,754.051669,6942.118396
